username_author,link_username_author,link_content_comment
AnhStately,https://www.tripadvisor.com.vn/Profile/AnhStately,https://www.tripadvisor.com.vn/ShowUserReviews-g1184676-d7202137-r402688428-Mercury_Phu_Quoc_Resort_Villas-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
chinhiz,https://www.tripadvisor.com.vn/Profile/chinhiz,https://www.tripadvisor.com.vn/ShowUserReviews-g1184676-d7202137-r396430903-Mercury_Phu_Quoc_Resort_Villas-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
Phuong_Bui_Chicken,https://www.tripadvisor.com.vn/Profile/Phuong_Bui_Chicken,https://www.tripadvisor.com.vn/ShowUserReviews-g469418-d596897-r235974079-Mango_Bay_Resort-Phu_Quoc_Island_Kien_Giang_Province.html
kewboy1,https://www.tripadvisor.com.vn/Profile/kewboy1,https://www.tripadvisor.com.vn/ShowUserReviews-g11236002-d13344570-r643726137-Camia_Resort_Spa-Ong_Lang_Phu_Quoc_Island_Kien_Giang_Province.html
Adst73,https://www.tripadvisor.com.vn/Profile/Adst73,https://www.tripadvisor.com.vn/ShowUserReviews-g469418-d596897-r200159999-Mango_Bay_Resort-Phu_Quoc_Island_Kien_Giang_Province.html
John O,https://www.tripadvisor.com.vn/Profile/thebeyonder,https://www.tripadvisor.com.vn/ShowUserReviews-g469418-d596897-r603913751-Mango_Bay_Resort-Phu_Quoc_Island_Kien_Giang_Province.html
Lorcan W,https://www.tripadvisor.com.vn/Profile/lorcanw600,https://www.tripadvisor.com.vn/ShowUserReviews-g469418-d596897-r602878473-Mango_Bay_Resort-Phu_Quoc_Island_Kien_Giang_Province.html
Tony A,https://www.tripadvisor.com.vn/Profile/A3087XGtonya,https://www.tripadvisor.com.vn/ShowUserReviews-g469418-d596897-r602818948-Mango_Bay_Resort-Phu_Quoc_Island_Kien_Giang_Province.html
boger2018,https://www.tripadvisor.com.vn/Profile/boger2018,https://www.tripadvisor.com.vn/ShowUserReviews-g11236002-d13344570-r601457083-Camia_Resort_Spa-Ong_Lang_Phu_Quoc_Island_Kien_Giang_Province.html
Konstantin S,https://www.tripadvisor.com.vn/Profile/564konstantins,https://www.tripadvisor.com.vn/ShowUserReviews-g11236002-d13344570-r601346333-Camia_Resort_Spa-Ong_Lang_Phu_Quoc_Island_Kien_Giang_Province.html
